Hourly_rate,Daily,Weekly ,Monthly,Total_Year
10,80,400,1600,19200
10,80,400,1600,19200
10,80,400,1600,19200
10,80,400,1600,19200
10,80,400,1600,19200
10,80,400,1600,19200
10,80,400,1600,19200
10,80,400,1600,19200
10,80,400,1600,19200
10,80,400,1600,19200
10,80,400,1600,19200
10,80,400,1600,19200
10,80,400,1600,19200
10,80,400,1600,19200
10,80,400,1600,19200
10,80,400,1600,19200
10,80,400,1600,19200
10,80,400,1600,19200
10,80,400,1600,19200
10,80,400,1600,19200
10,80,400,1600,19200
10,80,400,1600,19200
10,80,400,1600,19200
10,80,400,1600,19200
10,80,400,1600,19200
10,80,400,1600,19200
10,80,400,1600,19200
10,80,400,1600,19200
10,80,400,1600,19200
10,80,400,1600,19200
10,80,400,1600,19200
10,80,400,1600,19200
10,80,400,1600,19200
10,80,400,1600,19200
10,80,400,1600,19200
10,80,400,1600,19200
10,80,400,1600,19200
10,80,400,1600,19200
10,80,400,1600,19200
10,80,400,1600,19200
10,80,400,1600,19200
10,80,400,1600,19200
10,80,400,1600,19200
10,80,400,1600,19200
10,80,400,1600,19200
10,80,400,1600,19200
10,80,400,1600,19200
10,80,400,1600,19200
10,80,400,1600,19200
10,80,400,1600,19200
10,80,400,1600,19200
10,80,400,1600,19200
10,80,400,1600,19200
10,80,400,1600,19200
10,80,400,1600,19200
10,80,400,1600,19200
10,80,400,1600,19200
10,80,400,1600,19200
10,80,400,1600,19200
10,80,400,1600,19200
10,80,400,1600,19200
10,80,400,1600,19200
10,80,400,1600,19200
10,80,400,1600,19200
10,80,400,1600,19200
10,80,400,1600,19200
10,80,400,1600,19200
10,80,400,1600,19200
10,80,400,1600,19200
10,80,400,1600,19200
10,80,400,1600,19200
10,80,400,1600,19200
10,80,400,1600,19200
10,80,400,1600,19200
10,80,400,1600,19200
10,80,400,1600,19200
10,80,400,1600,19200
10,80,400,1600,19200
10,80,400,1600,19200
10,80,400,1600,19200
10,80,400,1600,19200
10,80,400,1600,19200
10,80,400,1600,19200
10,80,400,1600,19200
10,80,400,1600,19200
10,80,400,1600,19200
10,80,400,1600,19200
10,80,400,1600,19200
10,80,400,1600,19200
10,80,400,1600,19200
10,80,400,1600,19200
10,80,400,1600,19200
10,80,400,1600,19200
10,80,400,1600,19200
10,80,400,1600,19200
10,80,400,1600,19200
10,80,400,1600,19200
10,80,400,1600,19200
10,80,400,1600,19200
10,80,400,1600,19200
