stocks_id,products_id,location,stock
827.0,601.0,A,12.0
95.0,879.0,A,47.0
107.0,668.0,A,95.0
907.0,153.0,C,40.0
142.0,485.0,B,78.0
653.0,492.0,A,78.0
753.0,674.0,A,75.0
5.0,378.0,C,21.0
138.0,203.0,B,82.0
997.0,769.0,B,93.0
390.0,209.0,C,48.0
707.0,190.0,C,57.0
655.0,539.0,C,35.0
863.0,262.0,A,4.0
643.0,2.0,B,60.0
996.0,590.0,B,49.0
166.0,455.0,B,68.0
432.0,199.0,A,72.0
330.0,530.0,A,31.0
881.0,180.0,A,4.0
379.0,278.0,A,42.0
945.0,683.0,A,18.0
223.0,636.0,C,66.0
121.0,585.0,B,66.0
830.0,354.0,C,72.0
174.0,441.0,A,58.0
460.0,878.0,B,95.0
551.0,6.0,C,98.0
567.0,536.0,B,76.0
562.0,699.0,B,47.0
711.0,372.0,B,21.0
387.0,552.0,B,92.0
259.0,735.0,C,60.0
476.0,502.0,C,68.0
463.0,1.0,A,63.0
698.0,410.0,B,64.0
110.0,212.0,C,66.0
732.0,974.0,B,85.0
970.0,491.0,B,60.0
547.0,164.0,B,73.0
490.0,775.0,C,72.0
459.0,810.0,C,59.0
663.0,136.0,B,85.0
114.0,377.0,A,42.0
824.0,11.0,C,22.0
244.0,81.0,C,35.0
843.0,301.0,B,40.0
407.0,727.0,B,91.0
178.0,722.0,C,72.0
712.0,781.0,C,65.0
477.0,692.0,C,79.0
418.0,794.0,C,53.0
208.0,196.0,B,94.0
246.0,394.0,A,63.0
116.0,228.0,C,47.0
341.0,504.0,C,80.0
812.0,848.0,A,44.0
177.0,438.0,C,2.0
408.0,217.0,A,96.0
776.0,870.0,A,8.0
422.0,238.0,C,84.0
854.0,896.0,A,35.0
10.0,719.0,C,30.0
755.0,543.0,C,14.0
456.0,639.0,C,18.0
361.0,167.0,B,32.0
991.0,560.0,A,8.0
762.0,691.0,B,92.0
637.0,905.0,A,8.0
130.0,614.0,B,47.0
714.0,253.0,A,32.0
933.0,373.0,C,4.0
526.0,117.0,A,15.0
359.0,662.0,A,4.0
91.0,227.0,A,94.0
750.0,275.0,A,48.0
742.0,205.0,B,17.0
386.0,942.0,A,95.0
992.0,834.0,A,67.0
115.0,12.0,C,1.0
319.0,694.0,B,76.0
50.0,957.0,A,32.0
906.0,669.0,A,5.0
465.0,447.0,A,45.0
13.0,134.0,C,81.0
895.0,800.0,C,96.0
161.0,124.0,A,37.0
783.0,925.0,B,63.0
500.0,247.0,A,40.0
847.0,721.0,B,71.0
922.0,973.0,C,95.0
454.0,644.0,A,34.0
159.0,118.0,B,80.0
367.0,606.0,C,20.0
163.0,746.0,B,29.0
442.0,170.0,A,85.0
642.0,763.0,C,41.0
261.0,32.0,A,4.0
758.0,276.0,B,17.0
778.0,809.0,C,75.0
