customer_id,Total_hours_day,Total_hours_week,Total_hours_month,Monthly_Payment,Total_Payment_Year
24,4,20,80,800,9600
10,4,20,80,800,9600
68,4,20,80,800,9600
42,4,20,80,800,9600
35,4,20,80,800,9600
58,4,20,80,800,9600
88,4,20,80,800,9600
5,4,20,80,800,9600
96,4,20,80,800,9600
10,4,20,80,800,9600
63,4,20,80,800,9600
40,4,20,80,800,9600
93,4,20,80,800,9600
91,4,20,80,800,9600
19,4,20,80,800,9600
98,4,20,80,800,9600
70,4,20,80,800,9600
86,4,20,80,800,9600
27,4,20,80,800,9600
68,4,20,80,800,9600
33,4,20,80,800,9600
39,4,20,80,800,9600
73,4,20,80,800,9600
18,4,20,80,800,9600
62,4,20,80,800,9600
61,4,20,80,800,9600
71,4,20,80,800,9600
59,8,40,160,1600,19200
80,8,40,160,1600,19200
1,8,40,160,1600,19200
38,8,40,160,1600,19200
6,8,40,160,1600,19200
19,8,40,160,1600,19200
57,8,40,160,1600,19200
91,8,40,160,1600,19200
64,8,40,160,1600,19200
54,8,40,160,1600,19200
24,8,40,160,1600,19200
35,8,40,160,1600,19200
77,8,40,160,1600,19200
84,8,40,160,1600,19200
43,8,40,160,1600,19200
89,8,40,160,1600,19200
75,8,40,160,1600,19200
68,8,40,160,1600,19200
71,8,40,160,1600,19200
90,8,40,160,1600,19200
70,8,40,160,1600,19200
23,8,40,160,1600,19200
65,8,40,160,1600,19200
80,8,40,160,1600,19200
49,8,40,160,1600,19200
79,8,40,160,1600,19200
95,8,40,160,1600,19200
62,8,40,160,1600,19200
69,8,40,160,1600,19200
33,8,40,160,1600,19200
77,8,40,160,1600,19200
51,8,40,160,1600,19200
67,8,40,160,1600,19200
51,8,40,160,1600,19200
93,8,40,160,1600,19200
46,8,40,160,1600,19200
68,8,40,160,1600,19200
66,8,40,160,1600,19200
6,8,40,160,1600,19200
92,8,40,160,1600,19200
77,8,40,160,1600,19200
6,8,40,160,1600,19200
79,8,40,160,1600,19200
60,8,40,160,1600,19200
82,8,40,160,1600,19200
80,8,40,160,1600,19200
77,8,40,160,1600,19200
6,8,40,160,1600,19200
48,8,40,160,1600,19200
48,8,40,160,1600,19200
32,8,40,160,1600,19200
74,8,40,160,1600,19200
32,8,40,160,1600,19200
60,8,40,160,1600,19200
31,8,40,160,1600,19200
25,8,40,160,1600,19200
43,8,40,160,1600,19200
83,8,40,160,1600,19200
28,8,40,160,1600,19200
75,8,40,160,1600,19200
24,8,40,160,1600,19200
31,8,40,160,1600,19200
97,8,40,160,1600,19200
92,8,40,160,1600,19200
44,8,40,160,1600,19200
96,8,40,160,1600,19200
74,8,40,160,1600,19200
87,8,40,160,1600,19200
73,8,40,160,1600,19200
27,8,40,160,1600,19200
57,8,40,160,1600,19200
57,8,40,160,1600,19200
10,8,40,160,1600,19200
