course_id,course_name,duration,order_id,day_week,day_type
1.0,AAA,235.0,820.0,1.0,type2
2.0,BBB,488.0,296.0,1.0,type3
3.0,AAA,949.0,450.0,1.0,type1
4.0,CCC,902.0,896.0,3.0,type2
5.0,BBB,288.0,418.0,2.0,type2
6.0,AAA,104.0,562.0,3.0,type1
7.0,DDD,184.0,713.0,3.0,type3
8.0,DDD,533.0,26.0,5.0,type2
9.0,CCC,299.0,822.0,2.0,type1
10.0,AAA,453.0,532.0,5.0,type3
11.0,BBB,618.0,189.0,1.0,type2
12.0,AAA,273.0,634.0,5.0,type3
13.0,AAA,52.0,520.0,2.0,type3
14.0,CCC,706.0,954.0,4.0,type2
15.0,CCC,231.0,800.0,4.0,type3
16.0,DDD,522.0,670.0,5.0,type2
17.0,BBB,351.0,302.0,3.0,type1
18.0,CCC,877.0,345.0,5.0,type1
19.0,AAA,282.0,108.0,4.0,type1
20.0,DDD,845.0,175.0,5.0,type2
21.0,BBB,807.0,69.0,3.0,type2
22.0,AAA,766.0,17.0,1.0,type2
23.0,CCC,780.0,50.0,1.0,type1
24.0,BBB,894.0,346.0,3.0,type1
25.0,AAA,445.0,161.0,4.0,type3
26.0,AAA,602.0,361.0,3.0,type3
27.0,CCC,596.0,879.0,4.0,type3
28.0,CCC,545.0,483.0,4.0,type2
29.0,AAA,57.0,91.0,5.0,type2
30.0,DDD,99.0,64.0,2.0,type1
31.0,BBB,412.0,792.0,5.0,type1
32.0,DDD,753.0,342.0,2.0,type2
33.0,CCC,371.0,910.0,2.0,type2
34.0,AAA,169.0,948.0,2.0,type3
35.0,BBB,208.0,824.0,1.0,type1
36.0,BBB,671.0,731.0,2.0,type2
37.0,DDD,38.0,224.0,3.0,type1
38.0,DDD,377.0,23.0,2.0,type3
39.0,DDD,738.0,306.0,2.0,type3
40.0,BBB,298.0,943.0,5.0,type2
41.0,AAA,427.0,459.0,5.0,type2
42.0,AAA,441.0,305.0,3.0,type3
43.0,BBB,388.0,238.0,5.0,type1
44.0,DDD,155.0,614.0,5.0,type3
45.0,AAA,419.0,95.0,2.0,type1
46.0,CCC,837.0,636.0,4.0,type3
47.0,DDD,352.0,656.0,4.0,type1
48.0,AAA,604.0,8.0,5.0,type1
49.0,BBB,887.0,786.0,3.0,type2
50.0,CCC,25.0,133.0,5.0,type1
51.0,CCC,901.0,139.0,3.0,type1
52.0,CCC,229.0,802.0,3.0,type3
53.0,CCC,811.0,363.0,4.0,type3
54.0,CCC,646.0,922.0,2.0,type1
55.0,DDD,58.0,145.0,4.0,type1
56.0,CCC,454.0,884.0,4.0,type1
57.0,BBB,426.0,127.0,5.0,type3
58.0,AAA,411.0,159.0,2.0,type2
59.0,DDD,819.0,336.0,4.0,type2
60.0,BBB,46.0,926.0,3.0,type2
61.0,BBB,817.0,857.0,4.0,type3
62.0,AAA,999.0,7.0,5.0,type2
63.0,CCC,831.0,794.0,5.0,type3
64.0,BBB,851.0,400.0,3.0,type1
65.0,BBB,481.0,470.0,4.0,type3
66.0,AAA,303.0,357.0,4.0,type2
67.0,CCC,783.0,797.0,3.0,type2
68.0,AAA,582.0,92.0,5.0,type1
69.0,AAA,360.0,925.0,5.0,type3
70.0,CCC,435.0,10.0,4.0,type2
71.0,AAA,897.0,605.0,4.0,type2
72.0,DDD,81.0,313.0,2.0,type2
73.0,AAA,919.0,430.0,3.0,type2
74.0,BBB,874.0,736.0,2.0,type1
75.0,AAA,1.0,572.0,5.0,type3
76.0,BBB,365.0,324.0,3.0,type3
77.0,BBB,812.0,487.0,4.0,type1
78.0,DDD,889.0,859.0,3.0,type1
79.0,CCC,100.0,998.0,3.0,type1
80.0,BBB,988.0,881.0,5.0,type1
81.0,DDD,117.0,918.0,5.0,type1
82.0,DDD,883.0,210.0,5.0,type1
83.0,BBB,556.0,40.0,5.0,type1
84.0,BBB,997.0,491.0,5.0,type1
85.0,DDD,385.0,696.0,5.0,type2
86.0,CCC,19.0,222.0,4.0,type2
87.0,DDD,813.0,650.0,3.0,type1
88.0,DDD,791.0,478.0,2.0,type2
89.0,DDD,761.0,661.0,4.0,type3
90.0,DDD,542.0,54.0,5.0,type2
91.0,DDD,659.0,188.0,3.0,type1
92.0,DDD,297.0,32.0,5.0,type3
93.0,AAA,642.0,725.0,1.0,type2
94.0,DDD,899.0,213.0,3.0,type2
95.0,AAA,591.0,654.0,1.0,type3
96.0,DDD,700.0,80.0,2.0,type2
97.0,BBB,721.0,740.0,1.0,type3
98.0,BBB,465.0,508.0,1.0,type2
99.0,DDD,33.0,936.0,5.0,type3
100.0,AAA,869.0,828.0,1.0,type1
