group_id,start_age,end_age,caregiver_id,group_schedule_id
1.0,0.0,4.0,714.0,975.0
2.0,0.0,5.0,459.0,905.0
3.0,1.0,5.0,85.0,585.0
4.0,2.0,4.0,410.0,144.0
5.0,4.0,4.0,67.0,12.0
6.0,4.0,4.0,122.0,204.0
7.0,3.0,5.0,89.0,469.0
8.0,5.0,5.0,397.0,39.0
9.0,4.0,5.0,536.0,344.0
10.0,4.0,5.0,750.0,639.0
11.0,0.0,4.0,501.0,931.0
12.0,2.0,5.0,502.0,124.0
13.0,2.0,5.0,532.0,615.0
14.0,3.0,4.0,874.0,848.0
15.0,4.0,4.0,65.0,20.0
16.0,1.0,4.0,977.0,44.0
17.0,0.0,4.0,982.0,191.0
18.0,2.0,4.0,774.0,796.0
19.0,1.0,5.0,345.0,150.0
20.0,4.0,4.0,951.0,117.0
21.0,3.0,5.0,82.0,167.0
22.0,5.0,5.0,635.0,464.0
23.0,4.0,5.0,27.0,36.0
24.0,2.0,5.0,492.0,855.0
25.0,1.0,5.0,460.0,916.0
26.0,5.0,5.0,316.0,708.0
27.0,5.0,4.0,595.0,178.0
28.0,3.0,5.0,516.0,8.0
29.0,3.0,5.0,266.0,405.0
30.0,5.0,5.0,389.0,104.0
31.0,3.0,5.0,203.0,364.0
32.0,4.0,5.0,828.0,772.0
33.0,3.0,4.0,372.0,180.0
34.0,2.0,4.0,379.0,829.0
35.0,4.0,5.0,658.0,159.0
36.0,3.0,5.0,781.0,566.0
37.0,2.0,5.0,416.0,675.0
38.0,2.0,4.0,72.0,910.0
39.0,3.0,5.0,811.0,146.0
40.0,5.0,4.0,773.0,226.0
41.0,2.0,4.0,518.0,749.0
42.0,1.0,4.0,417.0,285.0
43.0,0.0,4.0,520.0,478.0
44.0,2.0,4.0,92.0,973.0
45.0,5.0,4.0,940.0,928.0
46.0,4.0,4.0,333.0,382.0
47.0,2.0,4.0,351.0,163.0
48.0,1.0,4.0,267.0,88.0
49.0,3.0,4.0,737.0,303.0
50.0,0.0,5.0,277.0,761.0
51.0,2.0,4.0,455.0,304.0
52.0,1.0,4.0,171.0,247.0
53.0,0.0,4.0,554.0,454.0
54.0,0.0,4.0,231.0,169.0
55.0,0.0,4.0,355.0,106.0
56.0,2.0,5.0,891.0,394.0
57.0,1.0,4.0,942.0,853.0
58.0,5.0,4.0,877.0,102.0
59.0,4.0,4.0,250.0,641.0
60.0,3.0,4.0,182.0,376.0
61.0,1.0,4.0,694.0,715.0
62.0,0.0,4.0,201.0,764.0
63.0,2.0,4.0,743.0,660.0
64.0,2.0,5.0,872.0,717.0
65.0,3.0,4.0,589.0,278.0
66.0,2.0,5.0,974.0,446.0
67.0,4.0,4.0,311.0,254.0
68.0,2.0,5.0,933.0,845.0
69.0,4.0,4.0,296.0,373.0
70.0,3.0,4.0,4.0,863.0
71.0,0.0,5.0,930.0,839.0
72.0,0.0,4.0,359.0,537.0
73.0,3.0,4.0,965.0,949.0
74.0,4.0,5.0,147.0,996.0
75.0,3.0,5.0,13.0,51.0
76.0,1.0,5.0,897.0,465.0
77.0,2.0,5.0,467.0,937.0
78.0,4.0,5.0,143.0,742.0
79.0,5.0,4.0,50.0,861.0
80.0,5.0,4.0,273.0,825.0
81.0,5.0,4.0,890.0,725.0
82.0,2.0,4.0,384.0,374.0
83.0,1.0,4.0,116.0,482.0
84.0,1.0,4.0,244.0,354.0
85.0,3.0,4.0,45.0,177.0
86.0,4.0,4.0,616.0,980.0
87.0,1.0,4.0,328.0,788.0
88.0,5.0,5.0,286.0,833.0
89.0,0.0,5.0,573.0,728.0
90.0,0.0,4.0,929.0,657.0
91.0,4.0,5.0,185.0,399.0
92.0,2.0,5.0,883.0,524.0
93.0,2.0,4.0,704.0,986.0
94.0,1.0,4.0,836.0,732.0
95.0,3.0,5.0,748.0,997.0
96.0,1.0,4.0,787.0,596.0
97.0,4.0,4.0,363.0,456.0
98.0,1.0,4.0,368.0,332.0
99.0,0.0,4.0,809.0,25.0
100.0,1.0,4.0,113.0,362.0
