group_schedule_id,number,course_id
951.0,8.0,3.0
0.0,11.0,7.0
55.0,22.0,6.0
908.0,33.0,5.0
882.0,78.0,2.0
54.0,75.0,4.0
375.0,56.0,8.0
2.0,93.0,10.0
435.0,48.0,10.0
869.0,57.0,10.0
747.0,35.0,2.0
822.0,4.0,7.0
408.0,60.0,7.0
921.0,49.0,8.0
357.0,68.0,4.0
563.0,72.0,4.0
103.0,31.0,5.0
426.0,4.0,4.0
810.0,42.0,4.0
704.0,18.0,10.0
91.0,66.0,7.0
581.0,66.0,10.0
45.0,24.0,9.0
631.0,54.0,10.0
215.0,98.0,7.0
520.0,76.0,7.0
10.0,47.0,9.0
785.0,21.0,8.0
688.0,92.0,9.0
625.0,84.0,10.0
695.0,32.0,9.0
24.0,36.0,9.0
333.0,65.0,10.0
111.0,46.0,9.0
381.0,60.0,7.0
422.0,73.0,10.0
436.0,93.0,9.0
937.0,63.0,5.0
698.0,42.0,4.0
156.0,79.0,6.0
509.0,99.0,9.0
782.0,40.0,6.0
611.0,91.0,10.0
183.0,72.0,10.0
598.0,65.0,8.0
639.0,40.0,5.0
587.0,63.0,10.0
58.0,47.0,3.0
176.0,44.0,2.0
415.0,25.0,3.0
852.0,8.0,2.0
266.0,35.0,5.0
108.0,88.0,3.0
522.0,97.0,10.0
892.0,18.0,6.0
257.0,32.0,5.0
741.0,8.0,8.0
292.0,92.0,2.0
930.0,8.0,7.0
302.0,47.0,4.0
174.0,32.0,2.0
635.0,11.0,3.0
939.0,9.0,2.0
979.0,6.0,2.0
67.0,48.0,6.0
396.0,17.0,4.0
564.0,95.0,4.0
456.0,67.0,2.0
605.0,50.0,2.0
355.0,32.0,4.0
316.0,5.0,2.0
632.0,45.0,3.0
511.0,37.0,7.0
773.0,63.0,2.0
856.0,40.0,9.0
545.0,71.0,2.0
645.0,34.0,8.0
500.0,80.0,4.0
343.0,61.0,5.0
268.0,12.0,7.0
373.0,14.0,2.0
681.0,58.0,4.0
376.0,67.0,8.0
283.0,63.0,10.0
692.0,42.0,4.0
18.0,44.0,6.0
714.0,34.0,8.0
716.0,84.0,2.0
287.0,90.0,10.0
728.0,18.0,2.0
310.0,33.0,2.0
726.0,17.0,4.0
14.0,22.0,3.0
627.0,59.0,5.0
975.0,66.0,2.0
226.0,32.0,5.0
144.0,92.0,9.0
272.0,10.0,6.0
464.0,11.0,5.0
612.0,80.0,7.0
