orders_details_id,orders_id,products_id,qty,price,total
520.0,964.0,488.0,6.0,97.0,582.0
817.0,350.0,9.0,10.0,24.0,240.0
605.0,405.0,453.0,8.0,10.0,80.0
894.0,558.0,318.0,6.0,91.0,546.0
868.0,467.0,460.0,7.0,99.0,693.0
593.0,999.0,741.0,8.0,23.0,184.0
303.0,420.0,655.0,10.0,39.0,390.0
761.0,780.0,100.0,7.0,45.0,315.0
325.0,364.0,943.0,2.0,58.0,116.0
912.0,620.0,877.0,10.0,30.0,300.0
456.0,879.0,125.0,5.0,24.0,120.0
596.0,69.0,637.0,9.0,13.0,117.0
329.0,208.0,970.0,5.0,97.0,485.0
689.0,729.0,623.0,2.0,94.0,188.0
231.0,227.0,406.0,3.0,37.0,111.0
353.0,856.0,911.0,2.0,25.0,50.0
776.0,791.0,171.0,10.0,34.0,340.0
270.0,731.0,831.0,8.0,93.0,744.0
619.0,939.0,150.0,1.0,32.0,32.0
386.0,871.0,685.0,1.0,63.0,63.0
916.0,502.0,454.0,8.0,65.0,520.0
599.0,472.0,94.0,1.0,21.0,21.0
551.0,606.0,522.0,10.0,70.0,700.0
825.0,63.0,61.0,7.0,23.0,161.0
225.0,106.0,99.0,2.0,53.0,106.0
671.0,549.0,654.0,4.0,14.0,56.0
751.0,746.0,130.0,8.0,24.0,192.0
867.0,395.0,893.0,1.0,50.0,50.0
777.0,58.0,422.0,6.0,42.0,252.0
804.0,276.0,826.0,8.0,35.0,280.0
727.0,310.0,53.0,9.0,31.0,279.0
878.0,983.0,995.0,10.0,48.0,480.0
693.0,452.0,2.0,10.0,22.0,220.0
389.0,153.0,636.0,7.0,97.0,679.0
385.0,437.0,565.0,6.0,90.0,540.0
399.0,917.0,175.0,8.0,85.0,680.0
221.0,344.0,695.0,3.0,53.0,159.0
290.0,138.0,308.0,5.0,97.0,485.0
933.0,517.0,837.0,7.0,94.0,658.0
876.0,199.0,457.0,8.0,13.0,104.0
952.0,249.0,403.0,2.0,46.0,92.0
446.0,317.0,734.0,6.0,14.0,84.0
269.0,583.0,146.0,8.0,76.0,608.0
578.0,148.0,898.0,6.0,43.0,258.0
428.0,445.0,793.0,1.0,53.0,53.0
770.0,359.0,924.0,6.0,68.0,408.0
27.0,129.0,847.0,7.0,70.0,490.0
963.0,582.0,600.0,9.0,54.0,486.0
920.0,343.0,661.0,4.0,26.0,104.0
720.0,579.0,52.0,5.0,64.0,320.0
622.0,676.0,376.0,5.0,87.0,435.0
721.0,211.0,193.0,1.0,82.0,82.0
24.0,836.0,483.0,3.0,59.0,177.0
994.0,959.0,842.0,1.0,82.0,82.0
210.0,443.0,214.0,5.0,54.0,270.0
32.0,621.0,768.0,7.0,43.0,301.0
286.0,234.0,484.0,1.0,87.0,87.0
492.0,857.0,509.0,1.0,32.0,32.0
259.0,213.0,665.0,5.0,87.0,435.0
997.0,297.0,950.0,6.0,98.0,588.0
451.0,190.0,594.0,10.0,16.0,160.0
625.0,336.0,10.0,2.0,62.0,124.0
458.0,135.0,799.0,7.0,23.0,161.0
960.0,767.0,660.0,4.0,96.0,384.0
936.0,34.0,883.0,1.0,42.0,42.0
941.0,242.0,501.0,9.0,44.0,396.0
474.0,811.0,327.0,3.0,23.0,69.0
574.0,835.0,498.0,10.0,43.0,430.0
136.0,66.0,108.0,4.0,78.0,312.0
104.0,105.0,367.0,10.0,40.0,400.0
116.0,362.0,789.0,10.0,34.0,340.0
302.0,117.0,468.0,7.0,22.0,154.0
985.0,527.0,320.0,5.0,32.0,160.0
397.0,749.0,547.0,3.0,30.0,90.0
669.0,666.0,590.0,8.0,52.0,416.0
173.0,909.0,417.0,7.0,51.0,357.0
945.0,33.0,934.0,3.0,50.0,150.0
993.0,388.0,311.0,1.0,95.0,95.0
617.0,516.0,923.0,5.0,15.0,75.0
133.0,154.0,738.0,10.0,59.0,590.0
569.0,906.0,64.0,9.0,93.0,837.0
788.0,307.0,324.0,5.0,99.0,495.0
810.0,30.0,850.0,7.0,100.0,700.0
372.0,402.0,534.0,8.0,55.0,440.0
431.0,112.0,940.0,10.0,53.0,530.0
37.0,107.0,918.0,3.0,93.0,279.0
834.0,185.0,0.0,7.0,71.0,497.0
156.0,15.0,429.0,6.0,29.0,174.0
480.0,245.0,965.0,7.0,36.0,252.0
263.0,232.0,539.0,8.0,62.0,496.0
991.0,932.0,568.0,3.0,22.0,66.0
19.0,365.0,537.0,6.0,47.0,282.0
379.0,703.0,390.0,4.0,28.0,112.0
803.0,641.0,238.0,2.0,22.0,44.0
756.0,899.0,8.0,10.0,56.0,560.0
398.0,915.0,684.0,3.0,83.0,249.0
393.0,287.0,92.0,5.0,29.0,145.0
806.0,563.0,900.0,7.0,37.0,259.0
530.0,730.0,202.0,3.0,12.0,36.0
808.0,624.0,505.0,1.0,42.0,42.0
