product_id,name,supplier_id
944.0,Smoke detectors,240.0
525.0,Books,635.0
677.0,Disinfecting wipes,852.0
221.0,Diaper rash cream,547.0
841.0,Lotion,914.0
582.0,Shampoo and conditioner,504.0
976.0,Disposable changing pads,916.0
689.0,Diaper rash cream,358.0
213.0,Carbon monoxide detectors,219.0
483.0,Wipes,408.0
943.0,Art supplies,684.0
872.0,Toys,31.0
542.0,Toys,680.0
311.0,Books,255.0
227.0,First aid kit,832.0
730.0,Toys,830.0
433.0,Hand soap,838.0
279.0,Trash bags,320.0
114.0,Books,191.0
986.0,Extra changes of clothes,666.0
940.0,Trash bags,115.0
628.0,Crib sheets,6.0
181.0,Sunscreen,958.0
243.0,Fire extinguisher,912.0
75.0,Sensory toys,174.0
257.0,Sensory toys,998.0
353.0,Shampoo and conditioner,386.0
625.0,Crib sheets,127.0
858.0,Disposable changing pads,596.0
969.0,First aid kit,650.0
272.0,Disinfecting wipes,594.0
275.0,Art supplies,245.0
950.0,Shampoo and conditioner,86.0
477.0,Crib sheets,616.0
652.0,Extra changes of clothes,367.0
462.0,Hand sanitizer,211.0
360.0,Books,350.0
853.0,Fire extinguisher,208.0
655.0,Toothbrushes and toothpaste,629.0
232.0,Paper towels,165.0
467.0,Extra changes of clothes,662.0
615.0,First aid kit,703.0
947.0,Formula or breast milk,751.0
16.0,Diapers,488.0
833.0,Baby food (if age-appropriate),215.0
934.0,Hand soap,289.0
779.0,Bath towels,70.0
512.0,Toothbrushes and toothpaste,108.0
448.0,Paper towels,782.0
780.0,Disposable changing pads,820.0
145.0,Crib sheets,722.0
71.0,Hand soap,608.0
291.0,Fire extinguisher,200.0
876.0,High chairs or booster seats,598.0
117.0,Bottles or sippy cups,659.0
447.0,Hand soap,822.0
953.0,Sunscreen,141.0
40.0,Bath towels,38.0
505.0,High chairs or booster seats,785.0
21.0,Wipes,967.0
915.0,Blankets,597.0
973.0,Multi-purpose cleaner,332.0
55.0,Disposable changing pads,538.0
880.0,Sleeping bags,5.0
326.0,Outdoor play equipment,834.0
897.0,Diapers,156.0
715.0,Trash bags,734.0
503.0,Fire extinguisher,520.0
683.0,Disinfecting wipes,63.0
42.0,Bottles or sippy cups,88.0
566.0,Hand soap,370.0
317.0,Sensory toys,50.0
175.0,Diaper rash cream,45.0
519.0,Bottles or sippy cups,511.0
11.0,Bottles or sippy cups,435.0
889.0,Sunscreen,235.0
716.0,Sunscreen,0.0
948.0,Carbon monoxide detectors,642.0
762.0,Blankets,133.0
567.0,Extra changes of clothes,276.0
250.0,Disposable changing pads,296.0
908.0,Bath towels,9.0
324.0,Trash bags,407.0
321.0,Blankets,507.0
179.0,Fire extinguisher,740.0
399.0,Shampoo and conditioner,113.0
664.0,Baby food (if age-appropriate),24.0
25.0,Books,873.0
645.0,Wipes,107.0
781.0,Blankets,895.0
170.0,Smoke detectors,627.0
48.0,Outdoor play equipment,445.0
850.0,First aid kit,669.0
539.0,Multi-purpose cleaner,120.0
342.0,Outdoor play equipment,443.0
14.0,Paper towels,887.0
260.0,Extra changes of clothes,124.0
499.0,Formula or breast milk,748.0
236.0,Carbon monoxide detectors,423.0
777.0,First aid kit,209.0
