stocks_id,products_id,location,stock
581.0,98.0,A,12.0
572.0,883.0,A,47.0
278.0,220.0,A,95.0
912.0,545.0,C,40.0
626.0,150.0,B,78.0
151.0,466.0,A,78.0
471.0,129.0,A,75.0
9.0,19.0,C,21.0
835.0,755.0,B,82.0
76.0,499.0,B,93.0
636.0,275.0,C,48.0
873.0,245.0,C,57.0
70.0,334.0,C,35.0
268.0,437.0,A,4.0
670.0,100.0,B,60.0
94.0,309.0,B,49.0
697.0,166.0,B,68.0
330.0,225.0,A,72.0
962.0,332.0,A,31.0
262.0,991.0,A,4.0
183.0,381.0,A,42.0
905.0,340.0,A,18.0
911.0,304.0,C,66.0
102.0,557.0,B,66.0
168.0,652.0,C,72.0
377.0,118.0,A,58.0
722.0,789.0,B,95.0
266.0,310.0,C,98.0
703.0,945.0,B,76.0
936.0,193.0,B,47.0
706.0,240.0,B,21.0
799.0,265.0,B,92.0
691.0,672.0,C,60.0
521.0,297.0,C,68.0
875.0,307.0,A,63.0
664.0,693.0,B,64.0
786.0,356.0,C,66.0
574.0,950.0,B,85.0
659.0,618.0,B,60.0
630.0,558.0,B,73.0
746.0,37.0,C,72.0
132.0,987.0,C,59.0
112.0,312.0,B,85.0
306.0,210.0,A,42.0
140.0,829.0,C,22.0
355.0,416.0,C,35.0
391.0,141.0,B,40.0
18.0,351.0,B,91.0
350.0,899.0,C,72.0
290.0,638.0,C,65.0
661.0,965.0,C,79.0
128.0,938.0,C,53.0
446.0,439.0,B,94.0
404.0,389.0,A,63.0
890.0,431.0,C,47.0
287.0,654.0,C,80.0
686.0,43.0,A,44.0
111.0,870.0,C,2.0
632.0,123.0,A,96.0
972.0,497.0,A,8.0
995.0,841.0,C,84.0
779.0,7.0,A,35.0
23.0,510.0,C,30.0
837.0,110.0,C,14.0
155.0,734.0,C,18.0
320.0,685.0,B,32.0
160.0,267.0,A,8.0
226.0,568.0,B,92.0
213.0,235.0,A,8.0
430.0,45.0,B,47.0
177.0,481.0,A,32.0
204.0,980.0,C,4.0
537.0,468.0,A,15.0
88.0,174.0,A,4.0
542.0,505.0,A,94.0
695.0,372.0,A,48.0
536.0,922.0,B,17.0
82.0,665.0,A,95.0
78.0,918.0,A,67.0
859.0,609.0,C,1.0
861.0,347.0,B,76.0
442.0,421.0,A,32.0
403.0,584.0,A,5.0
871.0,597.0,A,45.0
787.0,47.0,C,81.0
720.0,524.0,C,96.0
952.0,907.0,A,37.0
146.0,649.0,B,63.0
144.0,55.0,A,40.0
560.0,38.0,B,71.0
743.0,378.0,C,95.0
874.0,300.0,A,34.0
756.0,960.0,B,80.0
586.0,472.0,C,20.0
678.0,550.0,B,29.0
89.0,326.0,A,85.0
680.0,465.0,C,41.0
728.0,593.0,A,4.0
354.0,311.0,B,17.0
85.0,583.0,C,75.0
