course_id,course_name,duration,order_id,day_week,day_type
1.0,BBB,164.0,19.0,1.0,type3
2.0,DDD,83.0,890.0,1.0,type1
3.0,DDD,739.0,414.0,1.0,type3
4.0,BBB,637.0,341.0,3.0,type1
5.0,AAA,2.0,563.0,2.0,type2
6.0,BBB,786.0,304.0,3.0,type1
7.0,BBB,576.0,197.0,3.0,type1
8.0,DDD,40.0,491.0,5.0,type1
9.0,CCC,561.0,948.0,2.0,type2
10.0,CCC,286.0,825.0,5.0,type2
11.0,CCC,179.0,665.0,1.0,type1
12.0,AAA,964.0,531.0,5.0,type2
13.0,CCC,645.0,752.0,2.0,type3
14.0,AAA,687.0,348.0,4.0,type3
15.0,AAA,472.0,127.0,4.0,type3
16.0,BBB,507.0,656.0,5.0,type2
17.0,CCC,49.0,100.0,3.0,type2
18.0,CCC,820.0,913.0,5.0,type3
19.0,AAA,139.0,861.0,4.0,type1
20.0,BBB,674.0,905.0,5.0,type1
21.0,DDD,822.0,980.0,3.0,type3
22.0,BBB,268.0,945.0,1.0,type2
23.0,CCC,333.0,248.0,1.0,type3
24.0,BBB,195.0,921.0,3.0,type2
25.0,AAA,592.0,639.0,4.0,type2
26.0,BBB,410.0,891.0,3.0,type2
27.0,CCC,813.0,196.0,4.0,type1
28.0,BBB,118.0,44.0,4.0,type2
29.0,AAA,686.0,180.0,5.0,type1
30.0,DDD,74.0,494.0,2.0,type2
31.0,CCC,655.0,7.0,5.0,type2
32.0,DDD,770.0,973.0,2.0,type2
33.0,CCC,337.0,508.0,2.0,type2
34.0,AAA,731.0,755.0,2.0,type2
35.0,BBB,867.0,428.0,1.0,type3
36.0,DDD,425.0,741.0,2.0,type2
37.0,DDD,219.0,419.0,3.0,type2
38.0,CCC,420.0,558.0,2.0,type2
39.0,CCC,761.0,691.0,2.0,type2
40.0,DDD,928.0,806.0,5.0,type1
41.0,CCC,941.0,102.0,5.0,type2
42.0,AAA,522.0,278.0,3.0,type1
43.0,AAA,910.0,956.0,5.0,type2
44.0,DDD,601.0,565.0,5.0,type3
45.0,BBB,462.0,530.0,2.0,type2
46.0,DDD,52.0,108.0,4.0,type1
47.0,BBB,194.0,593.0,4.0,type3
48.0,AAA,53.0,886.0,5.0,type3
49.0,CCC,5.0,556.0,3.0,type1
50.0,DDD,360.0,370.0,5.0,type1
51.0,DDD,336.0,473.0,3.0,type2
52.0,BBB,769.0,207.0,3.0,type3
53.0,AAA,572.0,187.0,4.0,type2
54.0,BBB,903.0,322.0,2.0,type1
55.0,CCC,137.0,596.0,4.0,type2
56.0,AAA,857.0,841.0,4.0,type2
57.0,CCC,796.0,985.0,5.0,type2
58.0,BBB,842.0,246.0,2.0,type1
59.0,DDD,523.0,549.0,4.0,type2
60.0,BBB,783.0,671.0,3.0,type3
61.0,CCC,242.0,607.0,4.0,type3
62.0,BBB,694.0,391.0,5.0,type1
63.0,CCC,56.0,560.0,5.0,type2
64.0,BBB,763.0,706.0,3.0,type3
65.0,CCC,115.0,272.0,4.0,type1
66.0,BBB,41.0,458.0,4.0,type2
67.0,DDD,707.0,131.0,3.0,type3
68.0,AAA,492.0,125.0,5.0,type3
69.0,AAA,673.0,394.0,5.0,type3
70.0,CCC,760.0,111.0,4.0,type3
71.0,DDD,808.0,599.0,4.0,type2
72.0,CCC,749.0,71.0,2.0,type3
73.0,BBB,654.0,123.0,3.0,type2
74.0,BBB,966.0,541.0,2.0,type2
75.0,DDD,850.0,573.0,5.0,type3
76.0,DDD,854.0,374.0,3.0,type1
77.0,DDD,211.0,975.0,4.0,type3
78.0,AAA,203.0,73.0,3.0,type2
79.0,DDD,859.0,170.0,3.0,type2
80.0,CCC,984.0,583.0,5.0,type2
81.0,DDD,157.0,506.0,5.0,type1
82.0,BBB,58.0,165.0,5.0,type1
83.0,CCC,696.0,577.0,5.0,type2
84.0,AAA,519.0,647.0,5.0,type1
85.0,DDD,68.0,634.0,5.0,type2
86.0,DDD,264.0,727.0,4.0,type2
87.0,BBB,430.0,848.0,3.0,type3
88.0,DDD,958.0,538.0,2.0,type2
89.0,BBB,512.0,777.0,4.0,type1
90.0,AAA,758.0,723.0,5.0,type3
91.0,DDD,992.0,616.0,3.0,type3
92.0,CCC,184.0,683.0,5.0,type3
93.0,BBB,79.0,289.0,1.0,type3
94.0,AAA,381.0,452.0,3.0,type3
95.0,AAA,215.0,879.0,1.0,type3
96.0,AAA,925.0,479.0,2.0,type3
97.0,AAA,6.0,961.0,1.0,type2
98.0,DDD,585.0,86.0,1.0,type1
99.0,BBB,340.0,220.0,5.0,type1
100.0,BBB,440.0,661.0,1.0,type2
