group_id,start_age,end_age,caregiver_id,group_schedule_id
1.0,0.0,4.0,30.0,362.0
2.0,0.0,5.0,795.0,799.0
3.0,1.0,5.0,975.0,842.0
4.0,2.0,4.0,143.0,178.0
5.0,4.0,4.0,809.0,412.0
6.0,4.0,4.0,394.0,494.0
7.0,3.0,5.0,175.0,886.0
8.0,5.0,5.0,468.0,5.0
9.0,4.0,5.0,280.0,992.0
10.0,4.0,5.0,456.0,565.0
11.0,0.0,4.0,142.0,902.0
12.0,2.0,5.0,383.0,792.0
13.0,2.0,5.0,215.0,400.0
14.0,3.0,4.0,642.0,932.0
15.0,4.0,4.0,166.0,194.0
16.0,1.0,4.0,9.0,760.0
17.0,0.0,4.0,677.0,261.0
18.0,2.0,4.0,171.0,843.0
19.0,1.0,5.0,925.0,93.0
20.0,4.0,4.0,897.0,998.0
21.0,3.0,5.0,909.0,256.0
22.0,5.0,5.0,800.0,326.0
23.0,4.0,5.0,185.0,476.0
24.0,2.0,5.0,421.0,80.0
25.0,1.0,5.0,934.0,342.0
26.0,5.0,5.0,959.0,205.0
27.0,5.0,4.0,858.0,954.0
28.0,3.0,5.0,754.0,345.0
29.0,3.0,5.0,151.0,903.0
30.0,5.0,5.0,107.0,545.0
31.0,3.0,5.0,868.0,206.0
32.0,4.0,5.0,189.0,91.0
33.0,3.0,4.0,395.0,59.0
34.0,2.0,4.0,209.0,637.0
35.0,4.0,5.0,465.0,487.0
36.0,3.0,5.0,571.0,329.0
37.0,2.0,5.0,929.0,605.0
38.0,2.0,4.0,849.0,300.0
39.0,3.0,5.0,390.0,655.0
40.0,5.0,4.0,662.0,284.0
41.0,2.0,4.0,427.0,647.0
42.0,1.0,4.0,458.0,912.0
43.0,0.0,4.0,54.0,159.0
44.0,2.0,4.0,878.0,859.0
45.0,5.0,4.0,385.0,240.0
46.0,4.0,4.0,527.0,131.0
47.0,2.0,4.0,92.0,325.0
48.0,1.0,4.0,372.0,607.0
49.0,3.0,4.0,623.0,503.0
50.0,0.0,5.0,617.0,134.0
51.0,2.0,4.0,663.0,664.0
52.0,1.0,4.0,834.0,701.0
53.0,0.0,4.0,514.0,781.0
54.0,0.0,4.0,505.0,128.0
55.0,0.0,4.0,241.0,528.0
56.0,2.0,5.0,928.0,216.0
57.0,1.0,4.0,177.0,85.0
58.0,5.0,4.0,31.0,81.0
59.0,4.0,4.0,604.0,105.0
60.0,3.0,4.0,899.0,420.0
61.0,1.0,4.0,668.0,382.0
62.0,0.0,4.0,875.0,352.0
63.0,2.0,4.0,952.0,457.0
64.0,2.0,5.0,707.0,410.0
65.0,3.0,4.0,737.0,414.0
66.0,2.0,5.0,863.0,940.0
67.0,4.0,4.0,199.0,972.0
68.0,2.0,5.0,252.0,602.0
69.0,4.0,4.0,789.0,531.0
70.0,3.0,4.0,684.0,370.0
71.0,0.0,5.0,833.0,198.0
72.0,0.0,4.0,919.0,648.0
73.0,3.0,4.0,718.0,115.0
74.0,4.0,5.0,522.0,348.0
75.0,3.0,5.0,244.0,141.0
76.0,1.0,5.0,146.0,717.0
77.0,2.0,5.0,817.0,651.0
78.0,4.0,5.0,966.0,438.0
79.0,5.0,4.0,483.0,253.0
80.0,5.0,4.0,945.0,425.0
81.0,5.0,4.0,848.0,705.0
82.0,2.0,4.0,302.0,34.0
83.0,1.0,4.0,332.0,922.0
84.0,1.0,4.0,714.0,242.0
85.0,3.0,4.0,624.0,953.0
86.0,4.0,4.0,744.0,555.0
87.0,1.0,4.0,984.0,688.0
88.0,5.0,5.0,40.0,511.0
89.0,0.0,5.0,904.0,19.0
90.0,0.0,4.0,32.0,840.0
91.0,4.0,5.0,344.0,608.0
92.0,2.0,5.0,201.0,716.0
93.0,2.0,4.0,578.0,892.0
94.0,1.0,4.0,318.0,997.0
95.0,3.0,5.0,488.0,104.0
96.0,1.0,4.0,734.0,25.0
97.0,4.0,4.0,447.0,239.0
98.0,1.0,4.0,575.0,493.0
99.0,0.0,4.0,392.0,847.0
100.0,1.0,4.0,974.0,490.0
