group_schedule_id,number,course_id
31.0,8.0,3.0
592.0,11.0,7.0
863.0,22.0,6.0
90.0,33.0,5.0
362.0,78.0,2.0
513.0,75.0,4.0
588.0,56.0,8.0
82.0,93.0,10.0
895.0,48.0,10.0
511.0,57.0,10.0
84.0,35.0,2.0
307.0,4.0,7.0
552.0,60.0,7.0
661.0,49.0,8.0
649.0,68.0,4.0
292.0,72.0,4.0
860.0,31.0,5.0
778.0,4.0,4.0
374.0,42.0,4.0
818.0,18.0,10.0
643.0,66.0,7.0
788.0,66.0,10.0
493.0,24.0,9.0
646.0,54.0,10.0
313.0,98.0,7.0
30.0,76.0,7.0
250.0,47.0,9.0
634.0,21.0,8.0
776.0,92.0,9.0
109.0,84.0,10.0
796.0,32.0,9.0
95.0,36.0,9.0
835.0,65.0,10.0
783.0,46.0,9.0
283.0,60.0,7.0
483.0,73.0,10.0
799.0,93.0,9.0
528.0,63.0,5.0
96.0,42.0,4.0
274.0,79.0,6.0
415.0,99.0,9.0
444.0,40.0,6.0
682.0,91.0,10.0
755.0,72.0,10.0
523.0,65.0,8.0
761.0,40.0,5.0
221.0,63.0,10.0
247.0,47.0,3.0
606.0,44.0,2.0
73.0,25.0,3.0
647.0,8.0,2.0
955.0,35.0,5.0
304.0,88.0,3.0
536.0,97.0,10.0
966.0,18.0,6.0
814.0,32.0,5.0
772.0,8.0,8.0
256.0,92.0,2.0
392.0,8.0,7.0
36.0,47.0,4.0
683.0,32.0,2.0
970.0,11.0,3.0
330.0,9.0,2.0
69.0,6.0,2.0
893.0,48.0,6.0
24.0,17.0,4.0
864.0,95.0,4.0
81.0,67.0,2.0
793.0,50.0,2.0
873.0,32.0,4.0
289.0,5.0,2.0
961.0,45.0,3.0
542.0,37.0,7.0
7.0,63.0,2.0
294.0,40.0,9.0
751.0,71.0,2.0
766.0,34.0,8.0
810.0,80.0,4.0
960.0,61.0,5.0
5.0,12.0,7.0
316.0,14.0,2.0
102.0,58.0,4.0
827.0,67.0,8.0
1.0,63.0,10.0
553.0,42.0,4.0
116.0,44.0,6.0
909.0,34.0,8.0
680.0,84.0,2.0
882.0,90.0,10.0
897.0,18.0,2.0
333.0,33.0,2.0
181.0,17.0,4.0
217.0,22.0,3.0
711.0,59.0,5.0
845.0,66.0,2.0
97.0,32.0,5.0
963.0,92.0,9.0
728.0,10.0,6.0
75.0,11.0,5.0
91.0,80.0,7.0
