kid_id,day_week,day_type,need_meal
1.0,1.0,type1,N
2.0,1.0,type1,Y
3.0,1.0,type1,N
4.0,3.0,type1,Y
5.0,2.0,type2,N
6.0,3.0,type1,Y
7.0,3.0,type3,N
8.0,5.0,type2,Y
9.0,2.0,type2,Y
10.0,5.0,type2,N
11.0,1.0,type2,Y
12.0,5.0,type2,N
13.0,2.0,type3,Y
14.0,4.0,type2,Y
15.0,4.0,type2,Y
16.0,5.0,type1,N
17.0,3.0,type3,N
18.0,5.0,type1,N
19.0,4.0,type3,N
20.0,5.0,type2,N
21.0,3.0,type3,Y
22.0,1.0,type2,Y
23.0,1.0,type1,Y
24.0,3.0,type1,N
25.0,4.0,type2,Y
26.0,3.0,type3,Y
27.0,4.0,type1,N
28.0,4.0,type3,N
29.0,5.0,type2,N
30.0,2.0,type2,Y
31.0,5.0,type3,Y
32.0,2.0,type3,N
33.0,2.0,type1,N
34.0,2.0,type3,Y
35.0,1.0,type1,N
36.0,2.0,type2,N
37.0,3.0,type2,Y
38.0,2.0,type3,N
39.0,2.0,type1,Y
40.0,5.0,type1,N
41.0,5.0,type2,N
42.0,3.0,type1,N
43.0,5.0,type3,N
44.0,5.0,type2,Y
45.0,2.0,type3,Y
46.0,4.0,type2,N
47.0,4.0,type2,N
48.0,5.0,type2,Y
49.0,3.0,type1,Y
50.0,5.0,type2,Y
51.0,3.0,type2,Y
52.0,3.0,type2,Y
53.0,4.0,type1,Y
54.0,2.0,type1,N
55.0,4.0,type3,Y
56.0,4.0,type1,Y
57.0,5.0,type1,Y
58.0,2.0,type3,N
59.0,4.0,type2,Y
60.0,3.0,type3,Y
61.0,4.0,type3,N
62.0,5.0,type2,Y
63.0,5.0,type1,N
64.0,3.0,type3,N
65.0,4.0,type1,N
66.0,4.0,type1,N
67.0,3.0,type2,Y
68.0,5.0,type3,Y
69.0,5.0,type2,Y
70.0,4.0,type1,N
71.0,4.0,type3,N
72.0,2.0,type1,Y
73.0,3.0,type1,Y
74.0,2.0,type2,Y
75.0,5.0,type2,N
76.0,3.0,type3,Y
77.0,4.0,type2,Y
78.0,3.0,type2,N
79.0,3.0,type3,N
80.0,5.0,type2,N
81.0,5.0,type2,N
82.0,5.0,type3,Y
83.0,5.0,type3,Y
84.0,5.0,type2,N
85.0,5.0,type2,Y
86.0,4.0,type3,N
87.0,3.0,type1,Y
88.0,2.0,type3,Y
89.0,4.0,type1,N
90.0,5.0,type3,N
91.0,3.0,type1,N
92.0,5.0,type1,Y
93.0,1.0,type1,N
94.0,3.0,type1,N
95.0,1.0,type3,N
96.0,2.0,type2,Y
97.0,1.0,type3,Y
98.0,1.0,type2,N
99.0,5.0,type1,N
100.0,1.0,type1,Y
