orders_details_id,orders_id,products_id,qty,price,total
194.0,85.0,60.0,6.0,25.0,150.0
627.0,719.0,614.0,9.0,53.0,477.0
653.0,853.0,172.0,9.0,49.0,441.0
314.0,376.0,52.0,6.0,64.0,384.0
655.0,349.0,183.0,6.0,45.0,270.0
785.0,774.0,352.0,9.0,22.0,198.0
77.0,355.0,325.0,6.0,88.0,528.0
199.0,243.0,75.0,6.0,31.0,186.0
130.0,137.0,426.0,2.0,25.0,50.0
395.0,386.0,931.0,10.0,54.0,540.0
432.0,856.0,335.0,10.0,23.0,230.0
927.0,256.0,869.0,9.0,29.0,261.0
609.0,852.0,730.0,1.0,37.0,37.0
602.0,5.0,308.0,3.0,19.0,57.0
965.0,490.0,467.0,9.0,27.0,243.0
917.0,825.0,492.0,1.0,100.0,100.0
911.0,601.0,522.0,5.0,80.0,400.0
135.0,933.0,673.0,10.0,19.0,190.0
766.0,761.0,790.0,7.0,37.0,259.0
303.0,196.0,692.0,10.0,78.0,780.0
270.0,208.0,677.0,1.0,48.0,48.0
734.0,238.0,44.0,5.0,79.0,395.0
845.0,782.0,531.0,1.0,98.0,98.0
530.0,861.0,647.0,9.0,72.0,648.0
212.0,907.0,976.0,10.0,44.0,440.0
822.0,393.0,786.0,2.0,73.0,146.0
389.0,566.0,572.0,10.0,39.0,390.0
345.0,181.0,8.0,7.0,31.0,217.0
892.0,784.0,315.0,3.0,90.0,270.0
294.0,595.0,701.0,1.0,51.0,51.0
742.0,50.0,268.0,1.0,98.0,98.0
290.0,144.0,726.0,7.0,34.0,238.0
982.0,597.0,128.0,6.0,91.0,546.0
868.0,847.0,707.0,1.0,10.0,10.0
755.0,867.0,527.0,2.0,44.0,88.0
751.0,373.0,255.0,4.0,14.0,56.0
610.0,171.0,520.0,10.0,66.0,660.0
201.0,469.0,764.0,1.0,52.0,52.0
937.0,323.0,64.0,1.0,88.0,88.0
875.0,358.0,175.0,2.0,48.0,96.0
215.0,216.0,202.0,10.0,14.0,140.0
21.0,466.0,448.0,10.0,54.0,540.0
411.0,888.0,211.0,3.0,19.0,57.0
89.0,428.0,863.0,10.0,74.0,740.0
543.0,192.0,62.0,3.0,71.0,213.0
391.0,695.0,974.0,6.0,74.0,444.0
600.0,396.0,37.0,4.0,16.0,64.0
641.0,156.0,249.0,9.0,13.0,117.0
857.0,102.0,455.0,5.0,33.0,165.0
556.0,471.0,449.0,4.0,75.0,300.0
924.0,356.0,457.0,3.0,77.0,231.0
964.0,882.0,274.0,8.0,96.0,768.0
383.0,877.0,978.0,9.0,31.0,279.0
27.0,279.0,91.0,9.0,30.0,270.0
502.0,237.0,652.0,2.0,57.0,114.0
710.0,81.0,687.0,4.0,62.0,248.0
971.0,891.0,23.0,4.0,27.0,108.0
11.0,809.0,807.0,2.0,66.0,132.0
367.0,621.0,683.0,3.0,39.0,117.0
247.0,966.0,489.0,1.0,93.0,93.0
163.0,855.0,477.0,8.0,45.0,360.0
802.0,679.0,509.0,5.0,36.0,180.0
748.0,708.0,191.0,3.0,65.0,195.0
97.0,582.0,300.0,3.0,61.0,183.0
269.0,935.0,129.0,3.0,10.0,30.0
559.0,696.0,715.0,3.0,91.0,273.0
629.0,722.0,185.0,8.0,68.0,544.0
71.0,443.0,939.0,1.0,91.0,91.0
540.0,422.0,413.0,2.0,53.0,106.0
118.0,727.0,725.0,9.0,60.0,540.0
95.0,487.0,680.0,6.0,76.0,456.0
890.0,756.0,705.0,2.0,92.0,184.0
3.0,438.0,757.0,3.0,63.0,189.0
675.0,472.0,648.0,3.0,22.0,66.0
351.0,178.0,146.0,10.0,24.0,240.0
34.0,740.0,783.0,10.0,91.0,910.0
608.0,870.0,871.0,9.0,80.0,720.0
86.0,263.0,177.0,2.0,17.0,34.0
246.0,926.0,84.0,2.0,47.0,94.0
390.0,850.0,664.0,3.0,19.0,57.0
615.0,562.0,316.0,9.0,63.0,567.0
876.0,526.0,553.0,1.0,34.0,34.0
844.0,28.0,107.0,8.0,60.0,480.0
738.0,537.0,682.0,10.0,78.0,780.0
805.0,541.0,359.0,9.0,58.0,522.0
914.0,20.0,381.0,1.0,96.0,96.0
676.0,474.0,594.0,6.0,99.0,594.0
661.0,496.0,424.0,6.0,66.0,396.0
686.0,357.0,539.0,6.0,54.0,324.0
439.0,699.0,218.0,8.0,47.0,376.0
968.0,284.0,368.0,8.0,17.0,136.0
35.0,583.0,133.0,8.0,73.0,584.0
122.0,619.0,235.0,4.0,10.0,40.0
57.0,454.0,280.0,9.0,73.0,657.0
916.0,493.0,668.0,8.0,16.0,128.0
724.0,197.0,344.0,3.0,12.0,36.0
944.0,684.0,223.0,10.0,95.0,950.0
555.0,901.0,947.0,1.0,63.0,63.0
918.0,942.0,860.0,1.0,96.0,96.0
221.0,905.0,190.0,5.0,25.0,125.0
