product_id,name,supplier_id
529.0,High chairs or booster seats,859.0
887.0,Formula or breast milk,813.0
169.0,Trash bags,241.0
665.0,First aid kit,685.0
191.0,Bath towels,719.0
643.0,Bibs,711.0
469.0,Sunscreen,65.0
340.0,Toys,496.0
354.0,Sleeping bags,587.0
499.0,Wipes,558.0
521.0,Trash bags,88.0
194.0,Toys,152.0
707.0,Shampoo and conditioner,201.0
455.0,First aid kit,276.0
911.0,Multi-purpose cleaner,403.0
588.0,Toys,111.0
368.0,Bibs,59.0
610.0,Books,45.0
46.0,Art supplies,595.0
925.0,Blankets,374.0
928.0,Toys,215.0
720.0,Shampoo and conditioner,598.0
286.0,Bibs,51.0
706.0,Toothbrushes and toothpaste,60.0
64.0,Diaper rash cream,260.0
634.0,Toys,21.0
763.0,Multi-purpose cleaner,553.0
745.0,Extra changes of clothes,747.0
236.0,Smoke detectors,918.0
886.0,Crib sheets,427.0
336.0,Bath towels,483.0
621.0,Baby food (if age-appropriate),822.0
554.0,Trash bags,89.0
101.0,Wipes,415.0
478.0,Art supplies,1.0
850.0,Lotion,951.0
544.0,High chairs or booster seats,393.0
927.0,Baby gates,749.0
730.0,Toys,536.0
82.0,Baby food (if age-appropriate),376.0
272.0,Books,539.0
232.0,Diapers,759.0
600.0,Sleeping bags,476.0
796.0,Hand sanitizer,453.0
416.0,Carbon monoxide detectors,953.0
361.0,Hand sanitizer,735.0
962.0,Multi-purpose cleaner,448.0
527.0,Sensory toys,379.0
758.0,Baby gates,672.0
532.0,Outdoor play equipment,307.0
840.0,Sleeping bags,552.0
960.0,Wipes,768.0
424.0,Bath towels,770.0
237.0,Crib sheets,264.0
239.0,Blankets,390.0
189.0,Formula or breast milk,8.0
597.0,Trash bags,42.0
807.0,Trash bags,10.0
930.0,Hand soap,490.0
477.0,Smoke detectors,392.0
173.0,Sunscreen,692.0
377.0,Baby food (if age-appropriate),412.0
345.0,Fire extinguisher,140.0
800.0,Baby food (if age-appropriate),315.0
316.0,Wipes,931.0
313.0,Smoke detectors,712.0
81.0,Diapers,922.0
590.0,Hand soap,757.0
885.0,Toys,995.0
905.0,Diaper rash cream,68.0
604.0,Smoke detectors,143.0
892.0,Carbon monoxide detectors,443.0
329.0,Sunscreen,943.0
746.0,Disinfecting wipes,247.0
54.0,Paper towels,482.0
308.0,Bibs,975.0
322.0,Multi-purpose cleaner,343.0
659.0,Smoke detectors,548.0
815.0,Extra changes of clothes,327.0
166.0,Lotion,973.0
872.0,Disposable changing pads,91.0
940.0,High chairs or booster seats,679.0
534.0,Sleeping bags,952.0
451.0,Books,226.0
623.0,Baby food (if age-appropriate),909.0
948.0,Lotion,650.0
580.0,Bath towels,144.0
748.0,Toys,628.0
750.0,Sleeping bags,257.0
56.0,Hand soap,244.0
579.0,Carbon monoxide detectors,946.0
912.0,Bath towels,452.0
132.0,Toothbrushes and toothpaste,717.0
826.0,Sunscreen,435.0
170.0,Wipes,74.0
474.0,Sleeping bags,118.0
290.0,Hand sanitizer,48.0
680.0,Diaper rash cream,423.0
145.0,Sleeping bags,50.0
663.0,Blankets,27.0
