stocks_id,products_id,location,stock
824.0,631.0,A,12.0
766.0,890.0,A,47.0
707.0,403.0,A,95.0
199.0,854.0,C,40.0
141.0,614.0,B,78.0
104.0,934.0,A,78.0
693.0,221.0,A,75.0
374.0,817.0,C,21.0
25.0,426.0,B,82.0
574.0,214.0,B,93.0
460.0,431.0,C,48.0
741.0,366.0,C,57.0
929.0,789.0,C,35.0
822.0,761.0,A,4.0
365.0,236.0,B,60.0
538.0,355.0,B,49.0
624.0,129.0,B,68.0
85.0,874.0,A,72.0
545.0,916.0,A,31.0
728.0,461.0,A,4.0
686.0,404.0,A,42.0
250.0,329.0,A,18.0
427.0,865.0,C,66.0
757.0,876.0,B,66.0
579.0,858.0,C,72.0
620.0,339.0,A,58.0
570.0,311.0,B,95.0
604.0,753.0,C,98.0
439.0,26.0,B,76.0
392.0,908.0,B,47.0
804.0,56.0,B,21.0
503.0,262.0,B,92.0
481.0,105.0,C,60.0
550.0,546.0,C,68.0
272.0,813.0,A,63.0
648.0,30.0,B,64.0
513.0,154.0,C,66.0
406.0,93.0,B,85.0
182.0,619.0,B,60.0
547.0,560.0,B,73.0
232.0,552.0,C,72.0
295.0,125.0,C,59.0
480.0,913.0,B,85.0
185.0,888.0,A,42.0
987.0,73.0,C,22.0
428.0,867.0,C,35.0
948.0,451.0,B,40.0
713.0,19.0,B,91.0
144.0,288.0,C,72.0
146.0,816.0,C,65.0
301.0,498.0,C,79.0
175.0,941.0,C,53.0
777.0,986.0,B,94.0
371.0,492.0,A,63.0
831.0,819.0,C,47.0
373.0,106.0,C,80.0
476.0,61.0,A,44.0
297.0,765.0,C,2.0
488.0,76.0,A,96.0
795.0,839.0,A,8.0
983.0,531.0,C,84.0
598.0,400.0,A,35.0
915.0,535.0,C,30.0
651.0,335.0,C,14.0
20.0,338.0,C,18.0
77.0,483.0,B,32.0
998.0,961.0,A,8.0
738.0,276.0,B,92.0
200.0,632.0,A,8.0
464.0,611.0,B,47.0
827.0,356.0,A,32.0
940.0,932.0,C,4.0
39.0,94.0,A,15.0
818.0,495.0,A,4.0
126.0,376.0,A,94.0
229.0,558.0,A,48.0
681.0,853.0,B,17.0
629.0,395.0,A,95.0
238.0,811.0,A,67.0
556.0,227.0,C,1.0
763.0,81.0,B,76.0
583.0,321.0,A,32.0
312.0,218.0,A,5.0
317.0,774.0,A,45.0
419.0,188.0,C,81.0
33.0,571.0,C,96.0
432.0,323.0,A,37.0
875.0,409.0,B,63.0
219.0,119.0,A,40.0
859.0,840.0,B,71.0
700.0,10.0,C,95.0
860.0,133.0,A,34.0
910.0,209.0,B,80.0
994.0,354.0,C,20.0
444.0,897.0,B,29.0
83.0,678.0,A,85.0
386.0,48.0,C,41.0
926.0,434.0,A,4.0
0.0,170.0,B,17.0
304.0,566.0,C,75.0
