customer_id,total_hours_day,total_hours_week,total_hours_month,monthly_payment,total_payment_year
789,4,20,80,800,9600
981,4,20,80,800,9600
165,4,20,80,800,9600
338,8,40,160,1600,19200
81,4,20,80,800,9600
358,8,40,160,1600,19200
588,8,40,160,1600,19200
186,4,20,80,800,9600
750,4,20,80,800,9600
699,4,20,80,800,9600
984,8,40,160,1600,19200
642,8,40,160,1600,19200
820,8,40,160,1600,19200
530,8,40,160,1600,19200
294,8,40,160,1600,19200
635,4,20,80,800,9600
330,4,20,80,800,9600
399,8,40,160,1600,19200
477,8,40,160,1600,19200
150,8,40,160,1600,19200
842,8,40,160,1600,19200
706,8,40,160,1600,19200
465,4,20,80,800,9600
550,4,20,80,800,9600
921,4,20,80,800,9600
615,4,20,80,800,9600
674,4,20,80,800,9600
986,4,20,80,800,9600
135,8,40,160,1600,19200
70,4,20,80,800,9600
262,4,20,80,800,9600
84,8,40,160,1600,19200
646,4,20,80,800,9600
26,8,40,160,1600,19200
5,8,40,160,1600,19200
428,8,40,160,1600,19200
297,8,40,160,1600,19200
68,8,40,160,1600,19200
916,8,40,160,1600,19200
296,4,20,80,800,9600
199,8,40,160,1600,19200
332,8,40,160,1600,19200
769,4,20,80,800,9600
982,8,40,160,1600,19200
671,8,40,160,1600,19200
422,8,40,160,1600,19200
508,8,40,160,1600,19200
380,8,40,160,1600,19200
80,8,40,160,1600,19200
268,8,40,160,1600,19200
929,8,40,160,1600,19200
54,8,40,160,1600,19200
884,4,20,80,800,9600
812,8,40,160,1600,19200
102,4,20,80,800,9600
622,8,40,160,1600,19200
340,8,40,160,1600,19200
948,8,40,160,1600,19200
207,8,40,160,1600,19200
334,8,40,160,1600,19200
300,8,40,160,1600,19200
565,4,20,80,800,9600
848,8,40,160,1600,19200
659,8,40,160,1600,19200
840,4,20,80,800,9600
891,8,40,160,1600,19200
794,4,20,80,800,9600
998,4,20,80,800,9600
27,4,20,80,800,9600
319,4,20,80,800,9600
155,4,20,80,800,9600
272,8,40,160,1600,19200
1,4,20,80,800,9600
462,4,20,80,800,9600
567,4,20,80,800,9600
378,8,40,160,1600,19200
452,4,20,80,800,9600
373,4,20,80,800,9600
643,4,20,80,800,9600
451,8,40,160,1600,19200
859,4,20,80,800,9600
736,4,20,80,800,9600
35,8,40,160,1600,19200
573,8,40,160,1600,19200
475,4,20,80,800,9600
295,4,20,80,800,9600
220,4,20,80,800,9600
329,4,20,80,800,9600
938,4,20,80,800,9600
807,4,20,80,800,9600
608,4,20,80,800,9600
440,4,20,80,800,9600
561,4,20,80,800,9600
287,8,40,160,1600,19200
478,8,40,160,1600,19200
231,4,20,80,800,9600
111,4,20,80,800,9600
382,4,20,80,800,9600
877,4,20,80,800,9600
585,8,40,160,1600,19200
