assessment_id,kid_id,activity_id,assessment_code,behaviour,advice_parents
101.0,272.0,16.0,60.0,Excessive Resistance to Routine Changes,"If the child frequently struggles with sharing or taking turns, practice these skills at home and consider consulting with a paediatrician to assess social development."
102.0,292.0,15.0,35.0,Unusual Fixation on Certain Objects or Topics,"If the child displays excessive hyperactivity, ensure a balance of physical activities and routines at home. Consult with a paediatrician to assess whether there may be attention or hyperactivity concerns."
103.0,278.0,21.0,30.0,Extreme Hyperactivity Beyond Typical Toddler Energy,"If the child consistently withdraws or is excessively shy in class, try to create a supportive environment at home. Encourage social interactions through play-dates and consult with a paediatrician to ensure there are no developmental concerns."
104.0,218.0,24.0,55.0,Excessive Withdrawal from Classroom Activities,"If the child consistently struggles to engage with peers or teachers, encourage social interactions at home and consider consulting with a paediatrician to assess social development."
105.0,293.0,10.0,85.0,Extreme Difficulty in Sharing or Taking Turns,"If the child struggles significantly with sharing or taking turns, practice these skills at home and consider consulting with a paediatrician to assess social development."
106.0,201.0,3.0,100.0,Extreme Hyperactivity Beyond Typical Toddler Energy,"If the child has consistent difficulty following basic instructions, practice clear communication at home. If issues persist, consult with a paediatrician to rule out any developmental or cognitive concerns."
107.0,217.0,7.0,45.0,Unusual Fixation on Certain Objects or Topics,"While tantrums are common, persistent and intense outbursts may signal underlying issues. Establish clear boundaries at home and consult with a paediatrician to explore potential triggers or behavioural concerns."
108.0,222.0,32.0,25.0,Extreme Hyperactivity Beyond Typical Toddler Energy,"If the child consistently displays extreme aggression towards peers, encourage positive play at home and consult with a paediatrician to rule out any underlying behavioural or emotional issues."
109.0,287.0,16.0,100.0,Extreme Hyperactivity Beyond Typical Toddler Energy,"If the child struggles to make friends, work on social skills at home and encourage positive interactions. Consult with a paediatrician to rule out any underlying social or developmental challenges."
110.0,243.0,39.0,65.0,Unusual Fixation on Certain Objects or Topics,"If the child struggles to make friends, work on social skills at home and encourage positive interactions. Consult with a paediatrician to rule out any underlying social or developmental challenges."
111.0,235.0,22.0,35.0,Frequent Physical Complaints Without Apparent Cause,"If the child frequently complains of physical ailments without apparent cause, consult with a paediatrician to rule out any underlying health concerns and ensure the child's overall well-being."
112.0,254.0,14.0,50.0,Persistent Disinterest in Activities,"If the child frequently struggles with sharing or taking turns, practice these skills at home and consider consulting with a paediatrician to assess social development."
113.0,283.0,8.0,60.0,Extreme Aggressiveness Towards Peers,"If the child struggles significantly with sharing or taking turns, practice these skills at home and consider consulting with a paediatrician to assess social development."
114.0,245.0,37.0,85.0,Excessive Withdrawal from Classroom Activities,"If the child consistently withdraws from classroom activities, create a supportive environment at home and encourage participation in various activities. Consult with a paediatrician to ensure there are no developmental concerns."
115.0,279.0,4.0,35.0,Persistent Lack of Interest in Classroom Activities,"If the child consistently displays extreme aggression towards peers, encourage positive play at home and consult with a paediatrician to rule out any underlying behavioural or emotional issues."
116.0,294.0,1.0,95.0,Persistent Inability to Follow Simple Instructions,"If the child consistently shows disinterest in activities they once enjoyed, explore new activities at home and discuss any concerns with a paediatrician to rule out emotional or developmental issues."
117.0,290.0,15.0,70.0,Excessive Withdrawal from Classroom Activities,"While tantrums are common, persistent and intense outbursts may signal underlying issues. Establish clear boundaries at home and consult with a paediatrician to explore potential triggers or behavioural concerns."
118.0,277.0,33.0,25.0,Persistent Inability to Follow Simple Instructions,"If the child consistently shows disinterest in activities they once enjoyed, explore new activities at home and discuss any concerns with a paediatrician to rule out emotional or developmental issues."
119.0,276.0,6.0,40.0,Excessive Withdrawal from Classroom Activities,"If the child consistently struggles to engage with peers or teachers, encourage social interactions at home and consider consulting with a paediatrician to assess social development."
120.0,288.0,16.0,30.0,Unusual Fixation on Certain Objects or Topics,"If the child struggles to focus during classroom activities, create a calm and organized study environment at home. Consult with a paediatrician to explore attention-related concerns."
121.0,244.0,8.0,60.0,Persistent Lack of Interest in Classroom Activities,"If the child displays intense fixation, encourage a variety of interests at home. Consult with a paediatrician to rule out any obsessive behaviours or developmental concerns."
122.0,274.0,18.0,80.0,Regression in Language or Communication Skills,"If the child struggles to make friends, work on social skills at home and encourage positive interactions. Consult with a paediatrician to rule out any underlying social or developmental challenges."
123.0,233.0,18.0,65.0,Frequent Physical Ailments,"If the child consistently withdraws or is excessively shy in class, try to create a supportive environment at home. Encourage social interactions through play-dates and consult with a paediatrician to ensure there are no developmental concerns."
