fee_id,monthly_fee,due_date,transaction_id
893938,500.0,2027-06-01,215443
533681,500.0,2027-12-22,292711
618347,500.0,2027-11-26,244919
998787,1000.0,2027-07-23,497485
883214,1000.0,2029-07-05,137653
515495,1000.0,2027-05-29,462272
388992,1000.0,2028-01-12,665189
259691,1000.0,2028-01-25,272956
894724,1000.0,2027-04-09,421452
518562,500.0,2028-04-13,427586
824467,500.0,2029-04-08,366452
334416,500.0,2027-06-29,394387
959365,1000.0,2028-09-16,594614
559237,500.0,2028-09-28,167524
153343,1000.0,2027-11-02,648783
647835,1000.0,2028-01-02,534995
778227,500.0,2028-06-06,776439
956886,1000.0,2029-04-06,821233
128629,500.0,2027-12-09,727789
747485,500.0,2028-03-25,591295
656938,500.0,2028-10-13,625738
611281,500.0,2029-03-22,159392
238817,1000.0,2028-12-15,594363
435352,1000.0,2028-06-25,991681
652631,1000.0,2027-09-10,265414
754722,1000.0,2028-09-19,228293
148234,500.0,2029-06-06,389359
981162,500.0,2027-06-11,749457
738247,1000.0,2027-09-25,689824
222665,1000.0,2028-07-12,426194
373329,500.0,2027-11-12,412142
138643,1000.0,2029-02-23,162945
784223,500.0,2029-01-16,849384
276763,1000.0,2026-12-25,874227
452495,500.0,2027-07-18,677812
154994,500.0,2029-07-15,176244
751487,1000.0,2028-12-15,498373
248291,1000.0,2028-09-17,584289
663776,500.0,2028-08-05,219124
938212,1000.0,2027-07-19,378847
154117,1000.0,2027-11-16,137175
959777,1000.0,2028-06-05,857983
299352,1000.0,2027-09-07,454191
529439,1000.0,2029-07-25,611899
672574,1000.0,2029-05-09,319232
142728,1000.0,2029-06-09,247241
153213,500.0,2028-09-10,279654
138699,500.0,2027-07-26,645735
536352,1000.0,2028-03-24,862182
167592,500.0,2027-07-20,294953
528896,1000.0,2029-02-18,624653
183635,1000.0,2029-06-28,895919
224911,500.0,2028-03-12,523522
141867,1000.0,2029-04-23,935546
331974,1000.0,2028-02-02,459851
647652,1000.0,2029-03-07,275116
629134,500.0,2028-05-13,353897
917285,1000.0,2028-10-03,912239
562981,500.0,2029-06-27,169373
645548,1000.0,2028-09-28,156164
684943,500.0,2027-08-30,426973
171496,1000.0,2027-06-11,433713
161752,500.0,2028-01-18,674532
494781,1000.0,2027-07-09,718448
352149,1000.0,2028-11-21,654414
768229,1000.0,2029-07-16,765256
372173,1000.0,2028-08-07,979612
455676,1000.0,2029-06-03,535127
685424,1000.0,2027-06-22,667927
323238,500.0,2027-05-10,451719
867296,1000.0,2029-03-30,946726
485852,1000.0,2028-09-27,625957
235146,500.0,2027-09-25,675934
324679,500.0,2028-08-14,773579
155317,500.0,2027-09-28,155476
899428,1000.0,2027-11-23,888498
232114,500.0,2027-10-19,325962
347625,1000.0,2027-04-26,454431
212483,1000.0,2027-02-13,148287
262181,500.0,2027-12-05,478743
377817,500.0,2029-08-16,127439
736435,1000.0,2027-10-18,819428
583145,500.0,2027-04-03,389968
879812,500.0,2027-12-31,979838
573749,1000.0,2028-05-30,854598
491768,500.0,2028-05-01,458254
986967,500.0,2027-01-17,566923
531641,1000.0,2029-05-26,347342
518964,500.0,2026-12-23,776987
324459,1000.0,2029-03-17,147717
147633,1000.0,2028-06-08,816577
466163,500.0,2028-05-31,994845
489538,500.0,2029-01-20,781767
121441,1000.0,2028-08-03,383917
981643,500.0,2027-11-07,127383
636113,1000.0,2029-07-01,157648
329626,1000.0,2028-08-15,667575
726563,1000.0,2029-06-16,281916
378639,1000.0,2027-09-26,421144
643755,1000.0,2028-06-05,134382
