staff_id,monthly_salary_amount,due_date,transaction_id,job
43,2490.57,2028-11-11,485632,Manager
44,2256.21,2028-05-19,352157,Caregiver
45,2256.21,2029-02-12,742425,Caregiver
46,2256.21,2028-07-03,216976,Caregiver
47,2256.21,2029-08-16,296178,Caregiver
48,2256.21,2027-05-26,276837,Caregiver
49,2256.21,2027-08-13,395988,Caregiver
50,2256.21,2029-02-18,756425,Caregiver
51,2256.21,2027-01-11,848761,Caregiver
52,2256.21,2028-04-20,863846,Caregiver
53,2256.21,2027-03-12,565591,Caregiver
54,2256.21,2027-06-05,942478,Caregiver
55,2256.21,2027-03-21,948881,Caregiver
56,2256.21,2027-11-15,254745,Caregiver
57,2256.21,2028-04-12,689967,Caregiver
58,2256.21,2028-11-16,966855,Caregiver
59,2256.21,2029-05-28,542462,Caregiver
60,2256.21,2028-01-16,934485,Caregiver
61,1628.89,2028-12-01,952454,Cleaner
62,1628.89,2028-06-22,635193,Cleaner
63,2442.99,2027-10-14,511953,Headmistress
64,1754.02,2027-08-11,821588,Secretary
