supplier_id,name,phone,email,address
894195,Toy Store,532-498-9737,mindyjohnson@example.com,"585 Crescent Street, City of New York, New York 11208, United States"
811877,Staples,657-452-1521,carpenterthomas@example.net,"24 Campbell Avenue, , New York 10901, United States"
288226,Food Co,802-489-3918,ramosstacie@example.net,"43 Sterling Lane, , New York 11050, United States"
323596,Toy Store,696-270-8289,dillon89@example.com,"3529 Broadway, Buffalo, New York 14227, United States"
795897,Toy Store,262-752-5738,usmith@example.com,"550 Moseley Road, , New York 14450, United States"
229478,Staples,849-639-1582,rebecca28@example.com,"665 Seneca Creek Road, Buffalo, New York 14224, United States"
476877,Staples,244-801-1707,ellisonthomas@example.net,"28 Margaretta Court, City of New York, New York 10314, United States"
267656,Book LLM,000-431-7237,smithnatasha@example.net,"208 East 38th Street, City of New York, New York 11203, United States"
382222,Toy Store,827-387-1064,whall@example.com,"2502 Washington Boulevard, , New York 11710, United States"
726391,Book LLM,236-948-7243,delacruzgregg@example.com,"43 Sterling Lane, , New York 11050, United States"
996276,Toy Store,028-722-3781,alejandrotran@example.com,"665 Seneca Creek Road, Buffalo, New York 14224, United States"
715562,Food Co,230-496-5394,theresa74@example.net,"43 Sterling Lane, , New York 11050, United States"
943842,Book LLM,686-942-7404,iphillips@example.org,"1 Oak Bluff Avenue, , New York 10538, United States"
696254,Food Co,170-521-4084,rflores@example.org,"531 Stevens Road, , New York 13335, United States"
799151,Food Co,976-819-5486,youngcassandra@example.com,"7861 Quaker Road, , New York 14127, United States"
